NumElements 40
NumGroups 1
NumParticlesRan 12000
Spectrum   0 3.05712607787300e+03 2.54760506489417e-01
Group      0
Element    0 1.56406138007907e-01 1.30338448339922e-05
Element    1 1.71418791783760e-01 1.42848993153134e-05
Element    2 1.86254261924803e-01 1.55211884937336e-05
Element    3 1.85515677505570e-01 1.54596397921308e-05
Element    4 1.93672447971625e-01 1.61393706643021e-05
Element    5 2.10233956799298e-01 1.75194963999415e-05
Element    6 2.10904474560297e-01 1.75753728800248e-05
Element    7 2.31179714180004e-01 1.92649761816670e-05
Element    8 2.43251186603268e-01 2.02709322169390e-05
Element    9 3.04736667244115e-01 2.53947222703429e-05
Element   10 3.24651801182628e-01 2.70543167652190e-05
Element   11 3.64284331924480e-01 3.03570276603733e-05
Element   12 3.98596639753004e-01 3.32163866460837e-05
Element   13 5.69376603001705e-01 4.74480502501421e-05
Element   14 6.64105918561067e-01 5.53421598800889e-05
Element   15 7.67415268960607e-01 6.39512724133839e-05
Element   16 7.96392177646702e-01 6.63660148038919e-05
Element   17 9.01023335310904e-01 7.50852779425754e-05
Element   18 9.55106254640678e-01 7.95921878867232e-05
Element   19 9.99633800727083e-01 8.33028167272569e-05
Element   20 1.15599649647978e+00 9.63330413733148e-05
Element   21 1.38134999308865e+00 1.15112499424055e-04
Element   22 1.51421628114999e+00 1.26184690095832e-04
Element   23 1.63880020504127e+00 1.36566683753439e-04
Element   24 1.74435317060378e+00 1.45362764216982e-04
Element   25 1.92379930373679e+00 1.60316608644733e-04
Element   26 2.11454468762071e+00 1.76212057301726e-04
Element   27 2.47532529059746e+00 2.06277107549788e-04
Element   28 2.82749514586535e+00 2.35624595488779e-04
Element   29 2.94672047554188e+00 2.45560039628490e-04
Element   30 3.26876717256037e+00 2.72397264380031e-04
Element   31 3.91218013648922e+00 3.26015011374102e-04
Element   32 4.48876790899592e+00 3.74063992416326e-04
Element   33 5.05064300767950e+00 4.20886917306625e-04
Element   34 5.51078499398253e+00 4.59232082831877e-04
Element   35 6.24358888106293e+00 5.20299073421911e-04
Element   36 7.08151480352253e+00 5.90126233626878e-04
Element   37 7.81536186283655e+00 6.51280155236379e-04
Element   38 8.93820781380703e+00 7.44850651150586e-04
Element   39 2.06355429327023e+01 1.71962857772519e-03
