Element    0
Vertex 0 z 0
Moment 0
Group   0 0.5054
Group   1 0.00883321
Group   2 0.00708708
Group   3 0.00388418
Group   4 0.00184526
Group   5 0.0013479
Group   6 0.00184277
Group   7 0.00309378
Group   8 0.00510267
Group   9 0.00702874
Group  10 0.00382498
Group  11 0.00371372
Group  12 0.00606862
Group  13 0.00368871
Group  14 0.00146618
Group  15 0.00102774
Group  16 0.00208714
Group  17 0.00161096
Group  18 0.000402081
Group  19 0.000663728
Group  20 0.000203334
Group  21 0.000190824
Group  22 0.0069446
Group  23 0.00797501
Group  24 0.000636824
Group  25 0.000519651
Group  26 0.00438639
Group  27 0.00516827
Group  28 0.00197178
Group  29 0.00222023
Group  30 0.0146789
Group  31 0.018282
Group  32 0.0091278
Group  33 0.00656246
Group  34 0.00112068
Group  35 0.00119784
Group  36 0.000560198
Group  37 0.000684097
Group  38 0.000345624
Group  39 0.000352679
Group  40 6.76991e-06
Group  41 1.09315e-05
Group  42 0.00721554
Group  43 0.00834257
Group  44 7.17876e-05
Group  45 4.27913e-05
Group  46 2.79974e-05
Group  47 4.98622e-05
Group  48 0.0130989
Group  49 0.0132809
Group  50 0.0130325
Group  51 0.00979362
Group  52 0.0073908
Group  53 0.00555453
Group  54 0.00436551
Group  55 0.00357522
Group  56 0.00304149
Group  57 0.00266031
Group  58 0.0023714
Group  59 0.00213989
Group  60 0.00194692
Group  61 0.00178225
Group  62 0.00163879
Group  63 0.00151153
Group  64 0.00139744
Group  65 0.0012942
Group  66 0.00120026
Group  67 0.00111432
Group  68 0.00103531
Group  69 0.000962923
Group  70 0.000189322
Group  71 0.000216257
Group  72 0.000241042
Group  73 0.000277044
Group  74 0.000178219
Group  75 0.000198538
Group  76 0.000224885
Group  77 0.000259858
Group  78 0.000166693
Group  79 0.0001863
Group  80 0.000211638
Group  81 0.000246015
Group  82 0.000158693
Group  83 0.00017813
Group  84 0.000203506
Group  85 0.000238219
Group  86 0.000154712
Group  87 0.000174962
Group  88 0.000201725
Group  89 0.00023923
