NumElements 80
NumGroups 1
NumParticlesRan 288000
Spectrum   0 1.50540933377973e+05 5.22711574229072e-01
Group      0
Element    0 2.29100899206963e+05 7.95489233357510e-01
Element    1 2.19070220962018e+05 7.60660489451452e-01
Element    2 2.11597728283850e+05 7.34714334318924e-01
Element    3 2.04787105825473e+05 7.11066339671782e-01
Element    4 1.97676815687472e+05 6.86377832248166e-01
Element    5 1.91300522610016e+05 6.64237925729221e-01
Element    6 1.85995573005274e+05 6.45817961823867e-01
Element    7 1.79758090146327e+05 6.24160035230302e-01
Element    8 1.74462997215576e+05 6.05774295887415e-01
Element    9 1.68595710974189e+05 5.85401774215934e-01
Element   10 1.63014906296741e+05 5.66023980197018e-01
Element   11 1.58772709776632e+05 5.51294131168860e-01
Element   12 1.53404530382048e+05 5.32654619382112e-01
Element   13 1.49144001884395e+05 5.17861117654148e-01
Element   14 1.45026403286817e+05 5.03563900301449e-01
Element   15 1.40741386868450e+05 4.88685371071007e-01
Element   16 1.36320348353756e+05 4.73334542894987e-01
Element   17 1.32122281328518e+05 4.58757921279575e-01
Element   18 1.27812135762084e+05 4.43792138062792e-01
Element   19 1.23577802152281e+05 4.29089590806532e-01
Element   20 1.19161853974139e+05 4.13756437410203e-01
Element   21 1.15949896609056e+05 4.02603807670334e-01
Element   22 1.12875366763196e+05 3.91928356816653e-01
Element   23 1.09837006501387e+05 3.81378494796482e-01
Element   24 1.06739568521904e+05 3.70623501812166e-01
Element   25 1.03138856476363e+05 3.58121029431816e-01
Element   26 1.00487703675598e+05 3.48915637762493e-01
Element   27 9.71492672087855e+04 3.37323844474950e-01
Element   28 9.45097591302530e+04 3.28158885868934e-01
Element   29 9.14168366514846e+04 3.17419571706544e-01
Element   30 8.76742702184032e+04 3.04424549369455e-01
Element   31 8.53004135151164e+04 2.96181991371932e-01
Element   32 8.28012434393295e+04 2.87504317497672e-01
Element   33 7.97793760380209e+04 2.77011722354239e-01
Element   34 7.72293867950308e+04 2.68157593038301e-01
Element   35 7.45572184033494e+04 2.58879230567185e-01
Element   36 7.27659729148551e+04 2.52659628176580e-01
Element   37 7.09773876339329e+04 2.46449262617823e-01
Element   38 6.87045969315805e+04 2.38557628234654e-01
Element   39 6.61161839774701e+04 2.29570083255105e-01
Element   40 6.42317636491176e+04 2.23026957114991e-01
Element   41 6.25075772689958e+04 2.17040198850680e-01
Element   42 6.08248565842670e+04 2.11197418695371e-01
Element   43 5.90939120811627e+04 2.05187194726259e-01
Element   44 5.71708372224061e+04 1.98509851466688e-01
Element   45 5.52010992736862e+04 1.91670483589188e-01
Element   46 5.35435078482836e+04 1.85914957806540e-01
Element   47 5.21193357356786e+04 1.80969915748884e-01
Element   48 5.02001668269308e+04 1.74306134815732e-01
Element   49 4.85040848805271e+04 1.68416961390719e-01
Element   50 4.72116557772153e+04 1.63929360337553e-01
Element   51 4.54660142662250e+04 1.57868105091059e-01
Element   52 4.33985065906824e+04 1.50689258995425e-01
Element   53 4.16324359483497e+04 1.44557069265103e-01
Element   54 4.02902713085852e+04 1.39896775377032e-01
Element   55 3.90918874457079e+04 1.35735720297597e-01
Element   56 3.74346694330542e+04 1.29981491086994e-01
Element   57 3.59512288652757e+04 1.24830655782207e-01
Element   58 3.49178561814629e+04 1.21242556185635e-01
Element   59 3.35182124655833e+04 1.16382682172164e-01
Element   60 3.22191901178787e+04 1.11872187909301e-01
Element   61 3.08365369921613e+04 1.07071309000560e-01
Element   62 2.93229624401306e+04 1.01815841806009e-01
Element   63 2.81078827638170e+04 9.75968151521423e-02
Element   64 2.68207938717512e+04 9.31277564991361e-02
Element   65 2.55914995950178e+04 8.88593735938118e-02
Element   66 2.39253364049623e+04 8.30740847394525e-02
Element   67 2.27529826078853e+04 7.90034118329352e-02
Element   68 2.18084190125802e+04 7.57236771270146e-02
Element   69 2.07300962379500e+04 7.19795008262151e-02
Element   70 1.96740739518693e+04 6.83127567773241e-02
Element   71 1.82954980975810e+04 6.35260350610453e-02
Element   72 1.70077246758892e+04 5.90545995690597e-02
Element   73 1.59132471406328e+04 5.52543303494195e-02
Element   74 1.49411752500835e+04 5.18790807294568e-02
Element   75 1.39333335164134e+04 4.83796302653242e-02
Element   76 1.27023912809955e+04 4.41055252812344e-02
Element   77 1.14288870593810e+04 3.96836356228508e-02
Element   78 1.02442486670876e+04 3.55703078718321e-02
Element   79 8.85389435597757e+03 3.07426887360332e-02
